05/25/2020,Morning Brew,2020 stock performances: 

Zoom: +151%
Shopify: +131%
Twilio: +112%
Tesla: +95%
Docusign: +80%
Nvidia: +53%
PayPal:… https://t.co/3HUBbc07yu
05/25/2020,Jon Erlichman,Stock performance in 2020:

Zoom: +151%
Shopify: +131%
Twilio: +112%
Tesla: +95%
Docusign: +80%
Nvidia: +53%
PayPal… https://t.co/cFz14PkMZ6
05/24/2020,TNW,Judge rules Musk’s ‘Tesla stock too high imo’ tweet troublesome, but not enough to sue (story by @dcanellis) https://t.co/M8oEz1YJ90
05/23/2020,Antoine Gara,ICYMI: Here’s our profile of the $245bn investor in Scotland trouncing the market w/big holdings in everything from… https://t.co/ytUQbbhMo1
05/23/2020,Michael A. Gayed, CFA,Tesla’s $TSLA stock is up ~94% year-to-date. The stock is also on the verge of meeting the criteria to enter the S&amp;… https://t.co/spIm4BB2ZF
05/23/2020,Frank J. Fleming,Hey, Elon, mention to your followers how great my novel, Superego: Fathom, is to your followers, and I’ll consider… https://t.co/iBJ89WU8kf
05/22/2020,Kristyn Hyland,It is not unusual for a CEO to comment on the company’s current stock price. It is, however, unusual for a CEO to d… https://t.co/dJzB8IFeub
05/22/2020,Joe Kernen,@ChrisLiMRX3 @JohnJMoo @TeslaLisa @TESLAcharts You’re correct, this guy I blocked is just a liar. I said people sho… https://t.co/znflnQ1P6m
05/22/2020,MarketsTicker,Tesla's stock falls 0.9% in premarket trading, after closing Thursday at 3-mo. high
05/22/2020,Joe Kernen,@JohnJMoo @TeslaLisa @TESLAcharts ... after shorting Tesla at 200. and bitter. get it? don't try to make it somethi… https://t.co/QxVBcPBVEL
05/22/2020,James Newburrie,@gemisisDev @JayHadHope A PE of around 12-15 in the vehicle space is sensible and reasonable, Tesla’s current PE is… https://t.co/XDKAW5PKik
05/22/2020,Dustin Jennings,@JoeyCreel Def good from all I’ve seen I’ve dumped some of my leftover buying power into Tesla to just accumulate o… https://t.co/o63m1KccVm
05/21/2020,Singularity Hub,From $393 to $917 per share, Tesla's stock more than doubled. The company is being viewed as the future of electric… https://t.co/jMUlDXirdM
05/21/2020,TheStreet,Here's why @JimCramer doesn't see @elonmusk and @tim_cook going toe to toe anytime soon: https://t.co/kac8Sza3Ml
05/21/2020,Barron's,Investors need to think about the location of future Tesla plants. More diversification, geographically speaking, i… https://t.co/FEnIkRJxEE
05/21/2020,MarketsTicker,Tesla's stock falls 0.6% in premarket trading
05/21/2020,TNW,Judge rules Musk’s ‘Tesla stock too high imo’ tweet troublesome, but not enough to sue (story by @dcanellis) https://t.co/kxyUzWIMvu
05/20/2020,Sunil Rajaraman,I agree with Elon. I think Tesla stock is overvalued, but so is the entire market at the moment (but does it really… https://t.co/KhBMiSdL3J
05/20/2020,Ross Gerber,Stock Talk - talking about the amazing recovery in stocks and how to play it. Disney and the NBA. Wow! $dis Tesla a… https://t.co/Dl7oxEOM4g
05/20/2020,Singularity University,From $393 to $917 per share, Tesla's stock more than doubled. The company is being viewed as the future of electric… https://t.co/QbtAZNlHjK
05/20/2020,TNW,Judge rules Musk’s ‘Tesla stock too high imo’ tweet troublesome, but not enough to sue (story by @dcanellis) https://t.co/9K4nt559Wu
05/20/2020,Hard Fork | by TNW,Judge rules Musk’s ‘Tesla stock too high imo’ tweet troublesome, but not enough to sue https://t.co/j3yQGd1WxY
05/20/2020,tae kim,2020 stock market defined: Trading Tesla stock with stimulus money while cutting the grass at an island golf course… https://t.co/kWl9T38zza
05/20/2020,Charlie Shrem,Using Bitcoin to buy Tesla stock sounds cool, but how about using Tesla stock to pay your bar bill? Steve Ehrlich… https://t.co/35fBQNALIw
05/20/2020,MarketsTicker,Tesla's stock gains 1.1% premarket, after slipping 0.7% on Tuesday
05/20/2020,Ben Kew,@nytimes I might buy some Tesla stock now
05/20/2020,Bearista,Red Tesla’s going to be out of stock for a few weeks... https://t.co/MtrmqUYnZQ
05/19/2020,Adam Rifkin 🐼,@jolingkent Every company mentioned in Jo Ling’s tweet has its stock near its all time high; Apple, Netflix, PayPal… https://t.co/xfIM9s1NzC
05/19/2020,Jon Erlichman,Stock performance this year:

Zoom: +155%
Shopify: +103%
Tesla: +93%
Etsy: +74%
Peloton: +58%
Nvidia: +50%
Netflix:… https://t.co/8ogX0wjmCz
05/19/2020,Barron's,Reuters reported that Tesla vehicle registrations in China dropped sharply in April compared with March. The stock… https://t.co/fJu4GZJlfq
05/19/2020,Forbes,Big wins for the firm among disruptive technology companies like Amazon, Illumina, and Tesla have helped make it ea… https://t.co/cIIMKyhrXp
05/19/2020,Charlie Shrem,Pay Your Rent With Tesla Stock? Steve Ehrlich @investvoyager CEO and I talk about it!

🎧https://t.co/QvciLpal0u
🎧… https://t.co/jYSeH8ZfB2
05/18/2020,Richard Kahan,But first dump @Tesla stock. https://t.co/PXn12E5Hxj
05/18/2020,Business Insider,Tesla on verge of qualifying for inclusion in S&amp;P 500 https://t.co/3A4cKjpyAS
05/18/2020,MarketsTicker,Tesla's stock gains 2.3% premarket after report Fremont, Calif. plant can resume operations
